"filename", "language", "PostCSS", "JavaScript", "XML", "PHP", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_05_16_001319_create_espacios_table.php", "PHP", 0, 0, 0, 21, 0, 0, 6, 4, 31
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_05_16_001329_create_horarios_table.php", "PHP", 0, 0, 0, 23, 0, 0, 7, 7, 37
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_05_16_001340_create_reservas_table.php", "PHP", 0, 0, 0, 24, 0, 0, 6, 8, 38
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_05_16_001402_create_cancelaciones_table.php", "PHP", 0, 0, 0, 22, 0, 0, 6, 7, 35
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_05_16_001435_create_notificaciones_table.php", "PHP", 0, 0, 0, 23, 0, 0, 6, 7, 36
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_05_16_001446_create_reportes_table.php", "PHP", 0, 0, 0, 22, 0, 0, 6, 6, 34
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_05_16_001510_create_ubicaciones_table.php", "PHP", 0, 0, 0, 23, 0, 0, 8, 7, 38
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_06_05_193649_remove_id_horario_and_id_ubicacion_from_reservas_table.php", "PHP", 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_06_05_205312_add_id_horario_to_reservas_table.php", "PHP", 0, 0, 0, 33, 0, 0, 8, 6, 47
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_06_11_001657_add_visible_usuario_to_reservas_table.php", "PHP", 0, 0, 0, 19, 0, 0, 3, 5, 27
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_06_20_151730_create_analisis_reservas_table.php", "PHP", 0, 0, 0, 22, 0, 0, 6, 4, 32
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_10_03_014759_add_detalles_extra_to_espacios_table.php", "PHP", 0, 0, 0, 21, 0, 0, 6, 4, 31
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 0, 14, 0, 0, 5, 5, 24
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\package-lock.json", "JSON", 0, 0, 0, 0, 3969, 0, 0, 1, 3970
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\package.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\phpunit.xml", "XML", 0, 0, 33, 0, 0, 0, 0, 1, 34
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\css\app-rtl.css", "PostCSS", 5052, 0, 0, 0, 0, 0, 23, 666, 5741
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\css\app-rtl.min.css", "PostCSS", 7, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\css\app.css", "PostCSS", 3039, 0, 0, 0, 0, 0, 19, 414, 3472
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\public\assets\css\app.min.css", "PostCSS", 7, 0, 0, 0, 0, 0, 1, 1, 9
